video,condition,R1,R2,R3,R4,R5
01,2,4,2,5,NA,NA
10,2,NA,NA,4,6,5
11,2,NA,5,4,NA,NA
12,2,NA,NA,5,NA,6
13,2,NA,1,NA,1,NA
14,2,NA,5,NA,4,1
15,2,NA,NA,4,5,3
02,2,4,6,NA,3,NA
03,2,6,6,NA,NA,5
04,2,6,NA,5,5,NA
05,2,5,NA,3,NA,4
06,2,6,NA,NA,6,6
07,2,4,6,5,6,NA
08,2,6,5,3,NA,3
09,2,1,6,NA,5,3
01,5,5,4,4,NA,NA
10,5,NA,NA,3,5,5
11,5,NA,5,3,NA,NA
12,5,NA,NA,3,NA,3
13,5,NA,1,NA,3,NA
14,5,NA,5,NA,2,1
15,5,NA,NA,2,5,1
02,5,3,5,NA,4,NA
03,5,6,6,NA,NA,4
04,5,4,NA,5,5,NA
05,5,4,NA,3,NA,5
06,5,4,NA,NA,4,5
07,5,4,6,2,6,NA
08,5,3,6,4,NA,4
09,5,1,6,NA,5,2
16,1,2,4,3,NA,NA
25,1,NA,NA,5,6,5
26,1,NA,4,3,NA,NA
27,1,NA,NA,6,NA,5
28,1,NA,6,NA,5,NA
29,1,NA,6,NA,6,6
30,1,NA,NA,4,6,6
17,1,5,6,NA,6,NA
18,1,6,6,NA,NA,6
19,1,5,NA,6,6,NA
20,1,3,NA,3,NA,5
21,1,6,NA,NA,6,6
22,1,5,6,4,6,NA
23,1,6,6,4,NA,6
24,1,5,6,NA,5,4
16,4,1,3,3,NA,NA
25,4,NA,NA,5,6,6
26,4,NA,4,3,NA,NA
27,4,NA,NA,3,NA,4
28,4,NA,5,NA,6,NA
29,4,NA,6,NA,6,4
30,4,NA,NA,3,3,3
17,4,6,5,NA,6,NA
18,4,4,5,NA,NA,4
19,4,6,NA,3,6,NA
20,4,6,NA,4,NA,5
21,4,4,NA,NA,6,5
22,4,3,6,4,2,NA
23,4,5,6,4,NA,5
24,4,5,4,NA,5,3
31,3,2,3,1,NA,NA
40,3,NA,NA,5,0,0
41,3,NA,4,3,NA,NA
42,3,NA,NA,2,NA,5
43,3,NA,3,NA,1,NA
44,3,NA,0,NA,0,1
45,3,NA,NA,4,5,5
32,3,0,5,NA,4,NA
33,3,1,5,NA,NA,3
34,3,2,NA,2,3,NA
35,3,2,NA,4,NA,2
36,3,1,NA,NA,3,1
37,3,0,3,0,1,NA
38,3,1,4,4,NA,1
39,3,2,6,NA,3,3
31,6,2,3,3,NA,NA
40,6,NA,NA,2,2,1
41,6,NA,4,3,NA,NA
42,6,NA,NA,4,NA,1
43,6,NA,1,NA,4,NA
44,6,NA,3,NA,1,0
45,6,NA,NA,4,4,4
32,6,0,4,NA,2,NA
33,6,1,3,NA,NA,1
34,6,3,NA,3,4,NA
35,6,2,NA,2,NA,3
36,6,2,NA,NA,3,1
37,6,0,0,2,1,NA
38,6,3,3,2,NA,3
39,6,3,6,NA,4,2
